region,listing_no,listing_title,point_name,point_type,latitude,longitude,os_grid_ref,access_notes,description
West Penwith,1,"Alsia Well, St Buryan",Alsia Well,main,50.0691,-5.6446,SW392251,Secret / Secluded,"Tucked away in the corner of a field behind the small hamlet of Alsia Mill, Alsia Well is secluded and little visited. A few ribbons and offerings are left there by others who have been lucky enough to discover its hidden location. Like Madron Well and St Euny's Well, parents and children visited Alsia Well on the first three Wednesdays in May to seek a cure for their sick and disabled offspring. Divination rituals, often concerning marriage prospects, included counting the bubbles after a pin or stone was thrown in the water"
West Penwith,1,"Alsia Well, St Buryan",Trailhead,trailhead,50.0705,-5.6428,SW394252,300m,
West Penwith,2,"Boscawen-ûn Stone Circle, Crows-an-Wra",Boscawen-ûn Stone Circle,main,50.0898,-5.6192,SW412273,,"The 19 stones of this circle are, according to legend, the petrified forms of young women who were turned to stone while dancing on the Sabbath. Reached by a narrow trackway, the circle is contained within a network of small fields and high hedgerows and, uniquely, has a central stone set at a sharp angle. The trackway is said to be an ancient processional route of the Druids who performed rituals at Boscawen-ûn, one of the few stone circles in the country with a recorded history. It was mentioned in the Welsh triads as one of the three British gorsedds (bardic or druidic meeting places). Step back in time and follow in the footsteps of the druids as you take the ancient track to the stone circle, hidden within its hedged enclosure. This powerful centre of ley energies has many mysteries, including one stone made entirely of white quartz. On a nearby outcrop of rock just north of Boscawen-ûn, known as Creeg Tol are indentations said to be a giant's footprints. Its proximity to Boscawen-ûn, which can clearly be seen on the slopes below, may indicate some ancient ritual connection between the two."
West Penwith,2,"Boscawen-ûn Stone Circle, Crows-an-Wra",Creeg Tol,nearby_feature,50.0916,-5.6217,SW410275,Giant's footprints; outcrop just north of the circle,
West Penwith,2,"Boscawen-ûn Stone Circle, Crows-an-Wra",Trailhead Parking,trailhead,50.0934,-5.6124,SW417277,900m,
West Penwith,3,"Bosence Chapel, Sancreed",Bosence Chapel,main,50.1177,-5.6293,SW406304,Private Land; Secret / Secluded,"Tiny Bosence Chapel now lies in ruins but legends of hauntings and unearthly lights hovering above it survive, such as the tale of Uter Bosence. One midsummer's night Uter was crossing a field when thick fog suddenly descended. He made his way to the familiar gap in the hedge, but unable to find it he tried to climb the hedge, which seemed to grow higher and higher. In desperation he got down and followed the hedge towards the old chapel where he saw the most frightful apparition of 'sprites and spriggans'. Terrified, he tried to flee but an unseen presence like a powerful wind sent him rolling down the field, tossing him over a hedge and pushing him through brambles, furze and bogs. Today, the chapel is a tranquil place, its ruins hidden by trees and wildflowers. Enjoy the peace there and commune with spirits of nature and ancient Celtic spirituality, but be aware that the location retains a sinister edge, especially at night!"
West Penwith,3,"Bosence Chapel, Sancreed",Trailhead,trailhead,50.1135,-5.6247,SW409300,1km,
West Penwith,4,"Carn Galver, Porthmeor",Carn Galver,main,50.1707,-5.6061,SW425363,,The rocky tor known as Carn Galver overlooks the ocean and contains an ancient Neolithic tor enclosure that was once home to a friendly giant called Holiburn. He protected the local people by launching rocks at the troublesome giants of Trencrom Hill. Many local landscape features are said to be his handiwork including piles of boulders and logan stones that he used for rocking himself to sleep. Holiburn befriended a local lad and the two liked to play quoits but their games came to an end when the giant patted the boy on the head and his skull caved in like a pie crust.
West Penwith,4,"Carn Galver, Porthmeor",Trailhead Parking,trailhead,50.1717,-5.6127,SW421364,600m,
West Penwith,5,"Castle-an-Dinas, Nancledra",Castle-an-Dinas,main,50.161637,-5.522961,SW484350,,"Some say the old giant Denbras made his home at Castle-an-Dinas before he was killed by Long Tom in single combat. Long Tom was transporting ale in his cart from Marazion to St Ives when he disputed Denbras' right to block the roads with his hedges. After his victory, Tom took possession of the stronghold but continued to keep the roads blocked so was challenged in turn by Jack the Hammer. When the battle resulted in stalemate, the two decided to live together at Castle-an-Dinas. Jack eventually married Tom's eldest daughter on the feast of Lughnasa and moved away to build Chûn Castle. In other stories, fairies were said to hold their fairs inside the enclosure. The remains of this Iron Age ring fort, which had two concentric stone ramparts, are now so overgrown with vegetation that the original stonework is hardly visible. Much more prominent are a turreted, ruined folly on the edge of the fort called Rogers' Tower and the working quarries situated nearby."
West Penwith,5,"Castle-an-Dinas, Nancledra",Trailhead,trailhead,50.1696,-5.527,SW482359,1.5km,
West Penwith,6,"Chûn Quoit, Bojewyan",Chûn Quoit,main,50.1486,-5.6377,SW402339,,"A remarkable survival from the early Neolithic period, Chûn Quoit is a dolmen with a mushroom-shaped capstone that has sat completely undisturbed for over 5,000 years. Dolmens were thought to have been created by legendary giants and one made this chambered tomb his home. On a hilltop 300m away is Chûn Castle, a circular Iron Age hillfort. Like Castle-an-Dinas, it has two concentric stone walls and these are still visible. According to folklore, the castle was built by Jack the Hammer, a local giant killer who first had to rid the hill of the troublesome giant who dwelt there. Chûn Quoit was erected to mark the giant's grave."
West Penwith,6,"Chûn Quoit, Bojewyan",Chûn Castle,nearby_feature,50.1487,-5.6338,SW405339,"Circular Iron Age hillfort, 300m away",
West Penwith,6,"Chûn Quoit, Bojewyan",Trailhead Parking,trailhead,50.143,-5.6496,SW393333,1.2km,
West Penwith,7,"Gwennap Head, Porthgwarra",Gwennap Head,main,50.0366,-5.6811,SW365216,,"This rocky headland, also known by its old Cornish name, Tol-Pedn-Penwith, features a stack of stepped rocks known as Madgy Figgy's Chair Ladder. Having climbed to the top, a legendary witch of the same name would launch herself into the air on a broomstick fashioned from a stem of ragwort. From her rocky perch, Madgy Figgy could also summon up storms that caused ships to be wrecked in Porth Loe. According to local folklore, a woman's body once washed up there after just such a shipwreck and Madgy, sensing there was something special about this female, buried the corpse at Porth Loe then hid the woman's jewels in a chest at her home in nearby Raftra. Afterwards a strange light would emerge from the grave at night and then pass over the cliffs, settling over the Chair Ladder before moving off to Maggie's hut and hovering over the chest. Three months later a mysterious stranger arrived from abroad, found the grave and then followed the light to Madgy's hut where he reclaimed the jewellery and then departed, leaving gifts in return."
West Penwith,7,"Gwennap Head, Porthgwarra",Trailhead Parking,trailhead,50.038,-5.673,SW370217,850m,
West Penwith,8,Madron Well,Madron Well,main,50.1397,-5.5765,SW445327,Popular,"One of Cornwall's most renowned healing wells, Madron Well is set in marshland and reached via a woodland path. Cures were sought there for a variety of ailments from aches, pains and stiffness to lameness, skin diseases, wounds and colic. In the usual ritual for a sick child, the parents would stand facing the sun and then plunge the naked child into the water three times. After they and the child had run around the well clockwise nine times, the child had to rest on a mound at the nearby chapel known as St Maddern's Bed. Small pieces of cloth could be torn from the child's clothing and then stuffed under a rock or hung on a nearby thorn tree to ensure healing and good fortune. The whole ritual, however, had to be performed in silence or the cure would not be effective and the procedure would have to be repeated. Presiding over these rituals, performed only on the first three Wednesdays in May, was the custodian. This was a local wise woman to whom the title had passed – the last was known as An' Katty. She would accept no money but balls of yarn or other useful items could be left. Pious people who visited the well preferred to ascribe its cures to St Maddern. The well water was reputed to give protection from witchcraft and the evil eye, and the well itself was used for divination. Pins, stones or straw crosses were dropped into the water and the resulting bubbles showed the number of years until a particular event (most often a marriage) would take place. If no pins were available, then sometimes just jumping beside the well and counting the bubbles would suffice. Also, if two pins dropped into the water landed close together, this indicated a successful relationship. Access to the original well, deep in marshland surrounded by alder and willow, is slippery and very difficult but the waters flow out nearer to the path into a shallow pool. Here, visitors leave brightly-coloured clooties (ribbons) and other offerings tied to the trees. A little further along the enchanted woodland pathway lie the ancient ruins of Boswarthen Chapel, into which the waters of another well flow. The disabled came to this Christian holy well for a healing ritual that involved leaving a small offering on the altar, drinking the water, and then sleeping there overnight."
West Penwith,8,Madron Well,Boswarthen Chapel,nearby_feature,50.1402,-5.5751,SW447328,"Ruined chapel with holy well, along the woodland path",
West Penwith,8,Madron Well,Trailhead,trailhead,50.1367,-5.5756,SW445324,400m,
West Penwith,9,"Mên-an-Tol, Morvah",Mên-an-Tol,main,50.1586,-5.6044,SW426349,Popular,"Nestled in a gorse enclosure up on the Penwith moors, the holed stone of Mên-an-Tol, with a standing stone at either end, has been renowned since ancient times for its magical cures. It was once known locally as the Crick Stone and, according to custom, crawling through the hole naked three times against the sun (i.e. anti-clockwise) would cure pains in the neck and back, as well as rheumatism. Children were passed through the hole to ensure good health, and the friendly pixie who inhabited the stone could help parents whose baby had been stolen and replaced by a changeling. Visitors could also ask questions of the pixie by placing two brass pins in a cross shape on the top of the stone and interpreting their movements. Mên-an-Tol continues to exert its power and visitors still dutifully clamber through its central hole. Continuing along the network of moorland paths you eventually reach the well-preserved Nine Maidens or Boskednan Stone Circle. Here, young women who danced on the Sabbath were turned to stone."
West Penwith,9,"Mên-an-Tol, Morvah",Nine Maidens / Boskednan Stone Circle,nearby_feature,50.1605,-5.5938,SW434351,1.5km from Mên-an-Tol,
West Penwith,9,"Mên-an-Tol, Morvah",Trailhead Parking,trailhead,50.1535,-5.6149,SW418344,1km,
West Penwith,10,"Merry Maidens Stone Circle, Lamorna",Merry Maidens Stone Circle,main,50.0651,-5.5887,SW432245,,"This large and well-preserved circle of stones stands in a grassy field surrounded by farmland. These fun-loving 'merry maidens' were turned to stone while dancing on the Sabbath, as were the musicians who accompanied them then tried to flee the scene. The two huge stones nearby are The Pipers and some sources say the Blind Fiddler was another musician who met the same fate. The Merry Maidens are thought to be unmovable and cattle who have been harnessed to dislodge them are said to have collapsed and died. Less than a kilometre away, in the gardens of Rosemerryn House, lies a mysterious tunnel lined with megalithic blocks. This is Boleigh Fogou, an enigmatic structure which, according to folklore, was a gathering place of witches. The local squire was out hunting near Lamorna when a hare he was chasing disappeared into Boleigh Fogou. There he found a coven with witches dancing around a fire and recognising one as 'Bet of the Mill' concluded she had taken the form of the hare he'd pursued. The fogou can be visited by calling the number on a sign located by the driveway to Rosemerryn House. The fishing village of Lamorna was also once home to a mermaid who sat on a rock in Lamorna Cove, either luring unsuspecting fishermen or warning them of storms. Mermaid Rock, now known as Half-Tide Rock, is submerged at high tide."
West Penwith,10,"Merry Maidens Stone Circle, Lamorna",The Pipers (north),nearby_feature,50.0674,-5.5859,SW434247,Private land,
West Penwith,10,"Merry Maidens Stone Circle, Lamorna",The Pipers (south),nearby_feature,50.0681,-5.5851,SW435248,Private land,
West Penwith,10,"Merry Maidens Stone Circle, Lamorna",Blind Fiddler,nearby_feature,50.0979,-5.6016,SW425281,Private land,
West Penwith,10,"Merry Maidens Stone Circle, Lamorna",Boleigh Fogou,nearby_feature,50.0715,-5.5829,SW437251,Private land; visit by calling number at Rosemerryn House,
West Penwith,10,"Merry Maidens Stone Circle, Lamorna",Rosemerryn House sign,nearby_feature,50.0699,-5.5835,SW436250,Driveway sign for fogou access,
West Penwith,10,"Merry Maidens Stone Circle, Lamorna",Mermaid Rock / Half-Tide Rock,nearby_feature,50.0609,-5.5579,SW454239,Submerged at high tide,
West Penwith,11,"St Euny's Well, Brane",St Euny's Well,main,50.1033,-5.6375,SW399289,,"At this magical well with a stone arch, the waters are accessed by walking down a short flight of stone steps. Overhanging trees are adorned with clooties and other offerings that enhance the magical atmosphere of the place. A sacred well since pre-Christian times, its waters could heal wounds and cure sick children, who were immersed there on the first three Wednesdays in May. In one folk tale, Jenny Trayer who lived just to the west of Carn Brea had her baby stolen and replaced by the spriggans of Bartinney with a fairy changeling. To get back her own child, Jenny took the changeling to St Euny's Well and after immersing him in the water three times, she ran with him around the well three times widdershins (anti-clockwise). In some versions of the story, she was reunited with her own child but he always suffered from ill-health. Nearby Carn Brea, also called Chapel Carn Brea, is the most westerly hill in Cornwall and a prominent feature of the landscape. Pagan fires used to burn on its summit before it became a Christian site with a chapel dedicated to Archangel Michael (now ruined and barely visible). Many ancient barrows along the coast are aligned with Carn Brea, signifying that this was once a sacred hill. On the other side of St Euny's Well, Carn Euny is a remarkably well-preserved Iron Age village with a large underground fogou reached by a curving passage. The fogou was probably used for ritual purposes and it certainly feels like a mysterious portal to the underworld. To the east of Carn Euny is the ring fort of Caer Brân, which has both Bronze and Iron Age remains and was also a ceremonial site. Known to be an abode of the fairies, it was said that nothing evil could pass through there."
West Penwith,11,"St Euny's Well, Brane",Carn Brea (Chapel Carn Brea),nearby_feature,50.095,-5.6563,SW385280,Most westerly hill in Cornwall,
West Penwith,11,"St Euny's Well, Brane",Carn Brea Trailhead Parking,trailhead,50.0976,-5.6526,SW388283,450m,
West Penwith,11,"St Euny's Well, Brane",Carn Euny,nearby_feature,50.103,-5.6342,SW402288,Iron Age village with fogou; popular,
West Penwith,11,"St Euny's Well, Brane",Caer Brân,nearby_feature,50.1047,-5.6269,SW407290,"Ring fort, east of Carn Euny",
West Penwith,12,"St Levan's Stone, St Levan",St Levan's Stone,main,50.0422,-5.6601,SW380221,,"A large cleft boulder in the village churchyard is known as St Levan's Stone and was reputed to have been split when St Selevan, an early Cornish saint, struck it with his fist or his staff. A prophecy, said to have been uttered by Merlin, is associated with the rock:
“When a horse can ride
with panniers astride
though St Levan's stone
the earth will be done.”
St Levan's Holy Well, where people went to cure their toothache, is a short distance away on the cliff top with stunning views over Porth Chapel bay."
West Penwith,12,"St Levan's Stone, St Levan",St Levan's Holy Well,nearby_feature,50.0398,-5.6594,SW380219,"Cure for toothache; cliff top, Porth Chapel bay",
West Penwith,13,"St Michael's Mount, Marazion",St Michael's Mount,main,50.1165,-5.4781,SW514298,Castle & Church £££; parking in Marazion; Very Popular,"Iconic St Michael's Mount is accessible only at low tide via a long cobbled causeway. When the tide is high, like a mystical Isle of Avalon it can only be reached by boat. Its conical shape, topped by a church dedicated to Archangel Michael, is clearly visible from the hills and coastline all around. When sea levels were much lower, Mounts Bay was part of the legendary sunken kingdom of Lyonesse that extended all the way to the Isles of Scilly. At that time, St Michael's Mount lay hidden in a forest and was known as Karrek Loos yn Koos, 'grey rock in the wood'. This pale rock was transported from Trencrom Hill by the giantess Cormelian on the instructions of her fierce husband Cormoran, who was building their home on the Mount while stealing cattle from local farmers. Cormelian tried to substitute some local green-coloured stone but Cormoran found out and forced her to drop it where she stood. It formed the small rocky outcrop known as Chapel Rock. Cormoran shared tools with the giant Trecrobben who lived on Trencrom Hill. They would fling the tools back and forth as and when they were needed. But one day Cormoran called to Trecrobben for a cobbler's hammer and just as he threw it Cormelian came out of her cave. Blinded by the sun, she didn't see the hammer which hit her straight between the eyes and killed her outright. Cormoran mourned Cormelian and buried her under Chapel Rock, which subsequently became the site of an early 15th-century chapel to St Katherine where pilgrims would halt before making the crossing to ascend the Mount. Local people eventually grew tired of Cormoran's stealing and a local hero lured him into a huge pit and finished him off. He became known as Jack the Giant Killer. On the Mount, you'll find memorials to Cormoran – the Giant's Well, source of the Mount's water supply where local people made wishes, and a rock beside it known as the Giant's Heart. After fishermen at sea saw a vision of Archangel Michael on the Mount, it became a holy shrine and a site of pilgrimage. A monastery may have existed there and later a castle and church were built on its summit. On top of the tower of St Michael's Church is a stone structure known as St Michael's Chair. In local folklore, when a couple have just been married, the first one to make it up to the chair will have the upper hand. Just by the church, the exposed bedrock of the mount's summit can be seen, and it is said that a truly romantic wish made there will always be granted. St Michael's Mount is also a place of power where two of the most significant ley lines in Britain – the Michael/Mary and the Apollo/Athena lines – cross. The Michael line runs from the tip of Cornwall to East Anglia, following the alignment of the Beltane and Lughnasa sunrise, passing through many other churches along the way that are also dedicated to Archangel Michael, including Brent Tor, Glastonbury Tor and Burrow Mump. All of these may have been the sites of pagan temples dedicated to Bel or Lugh, the gods of light. The Apollo line runs all the way from Skellig Michael off the west coast of Ireland, through Cornwall, to France, Italy, Greece and Israel, again passing through many ancient shrines dedicated to Archangel Michael and to the sun god Apollo. One of these is Mont Saint Michel, the French counterpart to St Michael's Mount. The similarities between these two sites are remarkable – each is a conical tidal island topped by a church dedicated to Archangel Michael."
West Penwith,13,"St Michael's Mount, Marazion",Chapel Rock,nearby_feature,50.1225,-5.4757,SW516305,Low tide only,
West Penwith,13,"St Michael's Mount, Marazion",Giant's Well,nearby_feature,50.1171,-5.4776,SW514299,Mount's water supply; wishing well,
West Penwith,14,Sennen Cove,Sennen Cove (Parking),main,50.0778,-5.7048,SW350263,Parking £; Very Popular,"The popular village of Sennen Cove lies at the southern end of stunning Whitesand Bay, just above Land's End, on the western tip of Cornwall. Although mermaids visited the waters around Sennen Cove, a better-known local legend is that of the Sennen Whooper. When mist started to descend over Cowloe Rocks out in the bay, the villagers sometimes heard a strange sound and interpreted it as a warning not to go out to sea. One day two fishermen ignored the Whooper and set out through the mist, never to be seen again. Sennen was also home to a local wise woman who could control the winds, sending a west wind to blow the Danish fleet away when they were about to invade. Fairies, too, were seen in Sennen Cove. According to one story, two young sisters went to a well one night to fetch water and saw the little people dancing there, their skins white as snow and dressed in white muslin. Walk out from the village to the rocky headland and you may still sense the ancient spirits of the ocean as you gaze out over Cowloe Rocks. A little further along the South West Coast path heading west is Maen Castle, an Iron Age promontory fort, its ruins rooted in a rocky headland. Semi-circular banks and ditches, as well as an ancient stone gateway, guard a grassy mound that was once the home of a family of legendary giants. They were in conflict with the giants of Treryn Dinas, who had abducted one of their children."
West Penwith,14,Sennen Cove,Cowloe Rocks,nearby_feature,50.0805,-5.7076,SW348266,Out in the bay; home of the Sennen Whooper,
West Penwith,14,Sennen Cove,Maen Castle,nearby_feature,50.0727,-5.7083,SW347257,"Iron Age promontory fort, 800m from Sennen Cove",
West Penwith,15,"Treryn Dinas, Treen",Treryn Dinas,main,50.0412,-5.6365,SW397220,Popular,"This stunning natural cliff-top fortress dominates a rocky headland and is the perfect giants' lair. You can almost see the faces of these ancient petrified giants etched into the stone of the seaward-facing cliffs, forever gazing out to sea. One of the occupiers was Den an Dynas, a deaf and dumb giant who protected the coast by hurling huge boulders at approaching ships. His giantess wife An' Venna built its huge landward defences, while the headland itself was created by a sorcerer who summoned it up from the ocean and locked it in place by dropping a boulder into a deep hole. Another story tells of a giant couple who lived at Treryn Dinas but were unable to conceive a child so they stole one from their enemies, a family of giants at Maen Castle. When the giantess grew tired of her husband, she began a relationship with her adopted son and threw her husband off the cliff. In his dying moments, the giant called out for vengeance and his wife was turned into the famous Logan Rock at the top of the cliffs. The logan stone, which weighs over 90 tons and is the largest in Cornwall, was reputed to cure sick children who, in spite of the dangerous climb, were taken to be rocked on it. Local people made a sport of trying to tip the stone over, though it wouldn't budge more than an inch until a group of Royal Navy sailors tipped the stone off the cliff! They were made to put it back in place, at considerable expense and effort, but unfortunately the stone now no longer rocks. Treryn Dinas was also considered an enchanted place. Fairies inhabited the seaward side of the cliffs where they tended their flower gardens and played sweet sounding music that could be heard by passing fishermen. At midsummer, fairy lights twinkled in the darkness of the enchanted gardens and a sweet perfume wafted in on the breeze. Climb over the huge rocky outcrops then lie among the pink sea thrift in spring and feel the magic of this ancient fairy realm."
West Penwith,15,"Treryn Dinas, Treen",Trailhead Parking,trailhead,50.0499,-5.6409,SW394229,1km,
West Penwith,16,"Twelve O'Clock Stone, Cripplesease",Twelve O'Clock Stone,main,50.1812,-5.4957,SW505370,Secret / Secluded,"Sitting atop a stack of huge boulders on the southern flank of Trink Hill, this magical stone is said to rock like a cradle at midnight. Children would be placed on it at this propitious time to be cured of rickets and other diseases. From the stone, you have a clear view of Trencom Hill and St Michael's Mount, the homes of the giants Trecobben and Cormoran. Trink Hill also has its own giant associations: a rock known as the Giant's Chair once stood here."
West Penwith,16,"Twelve O'Clock Stone, Cripplesease",Trailhead Parking,trailhead,50.1787,-5.5026,SW500368,1km,
West Penwith,17,Zennor,Zennor,main,50.1918,-5.5674,SW454385,,"Celebrated for its famous mermaid, Zennor is a clifftop village steeped in legend and its church contains an ancient wooden panel carved with the mermaid's image. According to the story, young Mathey (Matthew) Trewella was singing in Zennor church when he was entranced by a beautiful woman called Morveren who was occasionally seen at services. The two fell in love and one day they set off walking towards the cliffs but were never seen again. People whispered among each other that Morveren was one of the sea people and had abducted Mathey. Years later some fishermen were anchored out at sea near Pendour Cove when they heard the cry of a mermaid from the waves. She asked them to haul up their anchor as it was blocking the entrance to her house and she was anxious to get back to her husband Mathey and their children. The terrified captain quickly obliged and returned to Zennor, where he related the tale. It confirmed the villagers' long-held suspicions that Morveren was a mermaid who had enticed Mathey down to her underwater realm. Sometimes Mathey's wailing could be heard at Pendour Cove – a warning of bad weather to come. Just outside the village of Zennor is the Giant's Rock, a huge logan stone that now barely moves but was once the rocking chair of the legendary giant of Carn Galver. It must have been a very sensitive stone because anyone who climbed up without it rocking would become a powerful witch. Also, on Zennor Hill just to the southeast of the village, there is a finely balanced Logan Stone. The huge weight of the boulder concentrated on a tiny area of crystal-rich rock causes the quartz crystals to release an electrical charge, said to produce healing and magical effects. Further along the hill is Zennor Quoit, a collapsed Neolithic dolmen said to have been constructed by a giant. According to local tradition, if the stones are removed they will always find their way back, leaving a curse upon the perpetrators."
West Penwith,17,Zennor,Pendour Cove,nearby_feature,50.1955,-5.5774,SW447389,800m from Zennor; mermaid's cove,
West Penwith,17,Zennor,Giant's Rock,nearby_feature,50.1942,-5.569,SW453387,300m from Zennor; private land; logan stone,
West Penwith,17,Zennor,Logan Stone (Zennor Hill),nearby_feature,50.189,-5.5559,SW462381,1km from Zennor,
West Penwith,17,Zennor,Zennor Quoit,nearby_feature,50.188,-5.5474,SW468380,1.6km from Zennor; collapsed Neolithic dolmen,
West Penwith,18,"Ballowall Barrow, St Just",Ballowall Barrow,main,50.1225,-5.7015,SW355312,,"Also known as Carn Gluze, Ballowall Barrow is an amazingly well-preserved Bronze Age chambered stone tomb with a circular arrangement of stone walls. Cornish miners returning home in the evenings reported seeing lights glowing on the barrow and fairies dancing all around it."
